Q6P1D7	SLX4
P39731	SUMO‐3::,inlK::,LC8::,atg-3::,epg-6::,SNX18::,RINT-1::,Galectin‐8::,VPS35::,GL2::,lgg‐1::,ERdj3::,miRNA‐200c::,GC‐G::,Oct4::,AP::,GM130::,BDCA2::,Car::,Ly6G::,Coq9::,C7::,NKG2D::,H3K4me1::,calreticulin::,IFNβ::,mkkk7::,Tead 1::,Lrig1::,eIF4A::,MDM10::,Erv2::,miR-122::,ERp57::,GSK-3β::,pdx1::,Sec61β::,GASZ::,GATA-1::,EpoR
P31000	vimentin::,Vimentin
174144	unc‐104::,UNC‐104
18181	Nrf1::,NRF1
O76577	RPN-11
6662	Sox9::,SOX9
Q96S38|Q15418|P23443|6198	S6K
O70405	npc1::,Bcl‐2::,polyubiquitin::,Bcl-XL::,ULK1::,Atg8b::,BAG1::,Hsc/Hsp70::,Jumpy::,DHPR::,α1 S::,Lap‐1::,FoxO3::,Hmgb1::,VAMP7::,Beclin‐1::,MCL‐1::,Ulk1::,MAPK8::,MVP::,TAB2::,deg‐3::,Pin1::,POMC::,α-hemolysin::,GAL1::,Bim::,TFEB::,CD16::,epg-1::,EPG-7::,SQST-1::,Mad2::,Ripk2::,Rab12::,Atg30::,CerS1::,CAVII::,Uba1::,ATG16L1::,C2::,UVRAG::,Pho8::,Miro1::,MIC1::,Beclin-1::,Bec-1::,DAPK1::,Atg8p::,rNDP52::,Atg19::,Dcp-1::,WIPI2b::,NCOA4::,APRT::,lin‐15B::,ago6::,PRK5::,GRI::,C-Nap1::,Zrf1::,Aβ::,CD133::,CrkL::,Noc::,CPEB4::,Dup::,SC35::,Pdd1p::,IL‐2::,DC-SIGN::,NFATc2::,S6RP::,GPT::,AGO4::,LGR5::,Terc::,Wnt4::,Sec31A::,Cacna2d2::,UBE4B::,LSD1::,SOD1::,SlpA::,COL7A1::,CCR9::,CP110::,miR‐125::,Asm::,IL-6::,VDR::,MCOLN1::,AChRα::,α-actinin::,cyclin D1::,Kar2::,Aβ40::,Park2::,Kcnq1::,fas1::,Fas1::,lro1::,CD86::,E-cadherin::,AID::,PHD1::,SMAD1::,Sema3A::,VEGFR-3::,PECAM1::,YAP::,TGF-α::,IgG1::,CDV3::,IBA1::,Ang-2::,MEKK3::,SLFN11::,ApoE::,raptor::,TAZ::,CD25::,CD45::,CTCF::,HDAC6::,TFE3::,VEGF-A::,NLRP3::,Plk4::,snR81::,snr81::,NFKBIZ::,KLF5::,FoxM1::,Stat3::,Pou5f1::,yH2A.X::,Yap1::,Rnaseh2b::,Lck::,mdi::,INVS::,Get4::,NOT1::,NEMO::,miR-29b::,Dgat1::,SPOP::,WRNIP1::,Smad2::,IcsA::,AAC::,EGOT::,RAB2A::,FUS::,IL-12::,HuR::,USP19::,CPAP::,MFN2::,cycb1;1::,MAD1::,vOTU::,BIK1::,MAPKKK5::,igfbp1a::,RNF8::,BMI1::,H2AX::,APC::,STE5::,nat4::,Gpr124::,Pfkfb3::,CARD14::,A20::,UBQLN4::,ORP8::,thrombopoietin::,Sept2::,PCNA::,Dln1
828049	p55::,daf-15::,ERK1::,Foxg1::,Rhodopsin1::,ft::,IL-1β::,hsc70::,LGG-1::,ATG-9::,FIP200::,TGN46::,egl‐46::,MC9::,MTMR3::,NF-κB::,CD14::,PR-SET7::,Rag2::,UBE4B::,SlpA::,COL7A1::,DER::,Shi::,CD11b::,ADCK3::,Snc1::,XRCC4::,DEC::,KLHL3::,PHD1::,Siglec‐14::,CORO1C::,SLFN11::,SCF::,Nemo::,Plg::,Tom40::,TBK1::,Nup170::,Bach1::,EpoR::,pericentrin::,Vinculin
Q8TCG1	CIP2A
20297	Ccl20
852291	uga2
P16914	elav::,Elav
21807	Tsc22d1::,TSC22D1
16439	IP3R2
57934	bactin
340061	STING::,Sting
P01522	ω-conotoxin GVIA
4323	MT1-MMP
108664	Atp6v1h
P50591	TRAIL::,NAF‐1::,Atro::,MEC‐4::,Bim::,ULK1::,spns1::,CPEB4::,NTR1::,SPC::,Apc::,CD45::,UQCRC2::,Fus::,PDGF-AA::,INVS::,AGO2::,Cav1.2::,SEPT6::,mdm34::,HuR::,dCYLD::,DNGR-1::,ins::,CYLD::,GASZ::,Hbb-b1::,fft3
840078	lamp2a::,API::,sipD::,Drpr::,Rap2b::,CREST::,α-MHC::,PlcA::,LC3B::,SQSTM1::,Bak::,Aβ::,pif4::,PCDH7::,Sec24D::,Hmg1::,SPC::,NSMCE2::,YAP::,MICA::,Siglec‐5::,B220::,Oas1::,eIF2::,CASP1::,ATAD3::,Mdy2::,uPAR::,HGF::,PD1::,DNGR-1::,MET::,Epo::,EpoR::,Gli2a
Q3UZ45	McIdas::,MCIDAS::,Mcidas
Q9H211	Cdt1::,CDT1
854660	atg32::,Atg32
Q9UUK2	hsc73::,α-amylase::,Buffy::,Jumpy::,TNFα::,FYCO1::,atrogin‐1::,GPi::,Atro::,Red1::,pet122::,mec‐4::,AHCYL2::,SCOC::,UVRAG::,TH::,daf-2::,Ubqln1::,Nod2::,epg‐6::,ach1::,mdx::,FIP200::,CD45.1::,Bak::,centrin-2::,GNL2::,KSHV‐TK::,CrkI::,Twi1p::,CG9485::,ANP::,TLR9::,Mbd2::,GM130::,ATP8A2::,NCOA5::,BMP4::,Adck3::,Sec12::,IFN-γ::,p48::,CD11b::,NRP1::,Nsmce2::,BRPF1::,PLCγ2::,snr81::,ELF3::,IFT88::,CNX::,C3b::,CtBP2::,RNAseHI::,miR-29b::,β2AR::,SEPT2::,HuR::,ADH1::,NavMs::,USP19::,STING::,miR-34c::,PBL27::,igfbp1a::,igfbp3::,POLD3::,GEMC1::,Gpr124::,ORP5::,Pkd2::,pericentrin
P10747	CD28
5916	parγ)
P00688|P00687	Amylase::,amylase
Q00977	Cx26
7832	BTG2
15900	Apg16p::,ap::,drpr::,UNC‐104::,Htt::,Mvp1::,TMEM59::,lgg-1::,cathepsin L::,Mdm2::,PlcA::,ATG4B::,Pex10::,Atg19::,ERK1::,spns1::,H-2Db::,ERdj3::,PRK4::,Bak::,C-Nap1::,Rap1::,IBA-1::,CG9485::,p300::,IGFR1::,Prnp::,LGR5::,spr-5::,βH-spectrin::,FMRP::,Ccno::,caspase-3::,miR-200::,Lpl::,TNF::,tenascin C::,Tsp1::,periostin::,CUL3::,Ly6C::,F4/80::,CCM1::,SMAD1::,sec15::,TRA98::,Lyzs::,HRAS::,OTUB1::,PCNA::,FoxM1::,yH2A.X::,mdi::,Notch1::,Mdy2::,Ifnar1::,SEPT7::,EGOT::,AKT1::,AKT2::,HuR::,CXCR5::,LC3B::,dop-1::,LUBEL::,Nrxn1::,SYCP3::,GASZ
90665|6907	TBL1
16535	Kcnq1
Q9UPY8	GATE‐16::,cyt c::,IRE1α::,Hla::,nbr1::,TMEM59::,Mfn2::,PMP70::,WASH::,vps30::,dnm1::,Fzd6::,nos::,ago6::,MC9::,Bcl-xL::,Orc2::,Giw1p::,DUSP5::,GRB2::,TCR::,Asm::,Nsmce2::,TGF-α::,Hsp70::,Cxcl9::,EB3::,OTUB1::,miR-10b::,gTbr2::,FoxM1::,TrkB::,Rnaseh2b::,Uba2::,WRNIP1::,Mdm10::,RNAP::,igfbp1a::,IGF1R::,HUWE1::,YAP
O08736	caspase-12
P46938	PS1::,ERGIC-53::,calmodulin::,p38IP::,DHR3::,MuRF‐1::,clathrin heavy chain::,IRGM::,red1::,RpL27::,Rab8a::,BCN1::,TAB2::,UVRAG::,WAC::,CREB::,myosin VI::,Tom1::,epg-6::,epg-4::,α-MHC::,let‐60::,WIPI2::,ATG16L1::,VAMP3::,Atg38::,MKP3::,Fap-1::,HACE1::,ACS2::,PDH E2/E3::,rpl25::,atg34::,RBM14::,Ctns::,Mgat3::,rab9::,Afp::,KSHV‐TK::,Ltbr::,TMPRSS2::,Mcm2::,gi-2::,Dusp5::,Rrm3::,UBE2V1::,TRF2::,mpx::,Insr::,TFG::,Sec16A::,karst::,YAP::,CCR9::,MDH2::,GCN4::,GRX2::,Asm::,caspase 9::,atg11::,atg19::,Snc1::,ypt1::,Tat::,arrestin::,vitronectin receptor::,C7::,tenascin-C::,Nsmce2::,TGF-α::,LRRC8C::,Mapt::,strophin p::,PTPRN2::,CFL1::,UnaG::,CD11c::,KLF4::,SMAD1::,H2A::,Bak::,Tcf7l1::,CSF2::,OTUB1::,Plk4::,Cas9::,E2F7::,GemC1::,CD45::,KRT23::,Wnt-3a::,Yap1::,miR-515-5p::,NB-3::,INVS::,IGCL::,Sufu::,Ifnar1::,WRNIP1::,Frs2::,Drp1::,Plg::,PAI-1::,Tom70::,HuR::,Chaperonin::,Rab1a::,CD4::,IL-21R::,cycb1;3::,cycb1;2::,miR-449a::,bactin::,H2AX::,MET::,CD34::,nat4::,fob1::,CARD14::,Sept2::,PCNA::,TAZ::,BCH2::,KV10.1::,EpCam::,miR-10b::,Gli2a
P28795	Pex3::,pex3::,PEX3
Q7Z6Z7	HUWE1
Q9BPZ7	Sin1
81876	RAB1B
Q13541	4E-BP1::,4EB-P1::,eIF-4E-BP1
171601|4363014	RAB‐11
2591	T3
22241|29869|71742	ULK
Q03818|A6ZML8	Apg16p
Q03380	AX p
29448|501854	Rab7::,rab7::,RAB7
P51587	BRCA2
1254406	SipD::,sipD
1437	Csf2::,CSF2
P57716	nicastrin::,NCT
Q24168	Orc2
5518	PPP2R1A
8312|8313	Axin
43812	eye::,eyeless
Q9DCM0	PS1::,α-amylase::,cholera toxin::,HMGB1::,myosin regulatory light chain::,RM45::,Ubqln4::,atg32::,scramblase-3::,MSH-6::,LAMP2::,H3R::,Hace1::,VPS35::,WIPI2b::,GRI::,WIPI2B::,BACE1::,IL‐2::,Nic96::,CD44::,Iba1::,Ang1::,TBPH::,PCNA::,SRSF1::,MAP-2::,FUNDC1::,HIF-1α::,C3b::,B220::,DHFR::,Su9::,p135::,Mdm12::,RAB28::,RPL12::,A20::,Stag3
P0CG48|P62987|P62979	ubiquitin
Q9CR16	cyclophilin D
36993	Dcr2
P70660	Ngn1
P24100	CDKA;1
P31997|P40199	BAG3::,p40phox::,FYCO1::,ubiquitylation::,Vti1b::,inlK::,Src::,Bim::,LC3A::,MelanA::,Rap1::,CTNS::,Ltbr::,gi-2::,Leu::,GRB2::,Phb2::,endosialin::,TFG::,Kst::,Abca1::,Hmg1::,C7::,CUL3::,Fus::,MT1-MMP::,Pou2af1::,pqm-1::,Spc105R::,SOX9::,igfbp1a::,Smc1β::,HUWE1::,dsi
7329	Ubc9
P07207	Notch::,notch
Q60936	Adck3::,ADCK3
P28702|P48443|P19793	RXR
1248100	spiA
Q8R0I0	synaptophysin::,TLN::,dRagC::,DHPR::,HDAC6::,CHOP::,Tom70::,Mvp1::,LC8::,MCUR1::,CA II::,EGF::,MC9::,Sox9::,p65::,Insr::,Mbd2::,LGR5::,WNT3A::,Ccno::,AChRα::,Coq9::,CD68::,LXRα::,p48::,VEGF-C::,Bak::,ETS1::,Pgc1α::,Ki67::,G6PI::,Btla::,NavMs::,junD::,Lin::,Dicer::,Stag3::,Mx1::,fft2
58126	Apg5p::,APG10::,npc1::,p19INK4D::,GATE‐16::,α-amylase::,vps-34::,AMPKα::,p38α::,DHPR::,htt::,dPTEN::,DHR3::,HIF-1α::,Vti1b::,ft::,Atro::,PELP1::,Map1lc3b::,Cdc11::,ras2::,BAX::,inlK::,deg‐3::,LC3B::,pex14::,LC8::,Sph1::,TMEM59::,Epg5::,epg-7::,ATG-9::,lgg-1::,Ubqln4::,IL-18::,miR-132::,hbl‐1::,AIN‐1::,EndoH::,SNX18::,ROCK1::,XIAP::,PMP70::,Atg16L1::,GlySi::,Fbxo7::,EGF::,ATG4B::,DAPK1::,ach1::,PDH E2/E3::,Atg19::,Dcp-1::,spns1::,TDP43::,GL1::,ACTB::,CTSD::,TTR::,secretagogin::,Secretagogin::,TH::,GRI::,Bak::,CDC14::,SAS-6::,nompA::,NF-κB::,Cx3cr1::,F4/80::,PR-SET7::,HNF4::,Alb::,β2i::,CG31935::,Rag2::,Dusp5::,FXR::,GC‐G::,UBE2D1::,TAB2::,OTUB1::,Oct4::,Mfa1::,Lyz::,Phb2::,NAV3::,Ki-67::,AGO4::,Terc::,VHL::,TFG::,COL7A1::,CCR9::,Ccno::,GOT2::,Endothelin-1::,ceramidase::,STRA6::,caspase-3::,Bbc3::,Cpt-1β::,CCL2::,CDK4::,Snc1::,vps21::,Sec13::,Trf1::,ALT::,Tsc22d1::,MEK1::,Braf::,Cdh1::,Dnmt2::,aconitase::,PHD1::,IgG2a::,Sema3A::,SMC5::,KRIT1::,YAP::,MICA::,mitofusin 2::,Swi6::,NPM::,Orb::,hrcC::,UnaG::,SMAD1::,ral::,SLFN11::,NANOS1::,SYCP3::,CD45::,Eomesodermin::,RUNX1::,Trpm6::,Runx1::,Lyzs::,ANKRD1::,miR-10b::,ABCB8::,CYM1::,IL18::,CENP-E::,chm::,WRKY29::,snr81::,GSK3β::,Mpl::,Nanog::,Pou5f1::,MARK4::,RNASEH2B::,Rnaseh2b::,Ubc9::,Chk2::,ATM::,Larp::,NB-3::,Ubp6::,eIF4A2::,p150::,FNIP2::,β2AR::,EGOT::,AKT1::,AKT3::,Aldolase::,Rab1a::,DGA1::,Pou2af1::,Choline Acetyl Transferase::,nhr-28::,cycb1;4::,cdkb1;2::,CDKB1;1::,cycb1;1::,SNAP29::,β2-transferrin::,PBL27::,igfbp1a::,ins::,CARD14::,Sec7::,cortactin::,H2AX
7030	TFE3
Q6R327	rictor
P23644	TOM40::,Tom40::,tom40
56739	rec8::,Rec8::,REC8
O96017	chk2::,CHK2::,Chk2
22059	cathepsin D::,proaminopeptidase I::,APG5::,npc1::,Tsg101::,Vps24::,TLN::,SipC::,let-363::,Ref(2)P::,p53::,Jumpy::,FYCO1::,GATE‐16::,Atg4A::,drpr::,HMGB1::,SOD1::,eis::,Sqa::,ARL8B::,IL-1β::,Aim2::,eNOS::,BI‐1::,bi‐1::,M45::,SH3GLB1::,SCOC::,α-hemolysin::,Hla::,BECN1::,LC3A::,CD16::,TMEM59::,Ubqln1::,Trp53::,nsP2::,atg‐3::,gba::,CA II::,PEX5::,lamin A/C::,WASH::,atg38::,ULK::,ACS2::,PDH E2/E3::,mNDP52::,FAM21::,VPS26::,ATG9A::,Dcp-1::,SPI1::,WIPI2::,TAX1BP1::,Gla::,atg19::,PTEN::,rpt‐3::,ATG‐18::,ATG16L1::,ULK1::,GRI::,Cyk3::,NotI::,MTMR3::,Ctns::,BACE1::,APOE::,Fas::,ApoE::,CD133::,PR-SET7::,KSHV‐TK::,Cdt1::,NTR1::,DOG1::,Dmef2::,Rag2::,PCDH7::,TRABID::,ERCC1::,c-Myc::,Yip1A::,NFATc2::,Phb2::,LGR5::,TfnR::,ManII::,core::,SPTBN1::,P53::,PlGF::,granzyme::,CCR9::,BDCA2::,ActA::,PEG1::,Shi::,BMP‐4::,Cbx2::,miR-210::,Asm::,PD-1::,caspase‐3::,Sec61::,Sec13::,TNF::,SPC::,DTA::,Gsk3alpha::,AID::,SOCS6::,YAP::,clr4::,LRRC8A::,Rpp30::,PLCB1::,PLCβ1::,CCM1::,ral::,fkh::,BRPF3::,B-Raf::,Raf-1::,VDAC3::,Cd22::,BsaHI::,4EBP1::,HEXA::,MITF::,CIP::,Wbp2::,Akt2::,IL1R1::,Cas9::,ATPCL::,pus1::,FOXA1::,Wnt-3a::,β-catenin::,LIF::,SMC3::,IFT80::,IFT38::,FIP3::,eIF4A::,DAF::,Larp::,vGlut1::,Ubp6::,Munc18-1::,p150::,caspase 3::,uPA::,mmm1::,IL-2::,HuR::,Rab1a::,CXCR5::,TBK1::,Tbk1::,cdkb1;1::,LUBEL::,miR-449a::,igfbp1a::,bactin::,casp-3::,MALT1::,Stag3::,IL-2Ra::,UBQLN4::,Sept2::,HUWE1::,Ift88::,Clc1::,Bch1::,chs5::,GASZ::,Epo::,PALB2::,GSK-3
33338	CG31935
53892	aut2::,APG10::,npc1::,tyrobp::,ddit3::,Hrs::,Tsg101::,Vps24::,Htt::,Lamp-1::,DAPk::,bec-1::,LGG-1::,Dcp-1::,β-COP::,VCP::,TDP-43::,FYCO1::,ATG4A::,BCL‐2::,RyR1::,Atg16L1::,dBruce::,hVps34::,pRb::,HIF-1α::,Vti1b::,eis::,myosin regulatory light chain::,MDN1::,LAS1L::,MVP::,inlK::,NEMO::,M45::,mec‐4::,synaptotagmin::,unc‐116::,CK2α::,TFEB::,FEZ1::,SCOC::,Rap2b::,TLR9::,atg36::,Ret::,LC8::,pep4::,Tom1::,VDR::,PERK::,ATG16L1::,Polyubiquitinated::,LRRK2::,α-syn::,Mito::,epg-7::,lgg-1::,SQST-1::,Zwint‐1::,Ubqln4::,IL-18::,caspase-1::,nestin::,FIP200::,PAT4::,Atg36::,let‐60::,AIN‐1::,SQST‐1::,LC3B::,PrP::,lamin A/C::,Beclin1::,XIAP::,CAVII::,survivin::,LC3b::,tbx1::,CD63::,EEA1::,Ambra1::,MTMR3::,PDI::,RINT-1::,atg38::,MiroS::,mlh-1::,msh-6::,ATF3::,TRAIL::,HACE1::,Atg19::,Atg11::,ATG9A::,nos::,Lon::,urh1::,spns1::,p47phox::,WIPI1a::,TDP43::,FTH1::,hrr25‐ts::,rpl‐43::,Phsp‐4::,lap::,CRH::,GRI::,Bak::,Inn1::,RBM14::,CPAP::,Zrf1::,Pax6::,Ctns::,KSHV‐TK::,Ltbr::,Noc::,spo0J::,miRNA‐34a::,GIW1::,Twi1p::,PA28α::,FT::,PCDH7::,PCDH1::,α‐factor::,FXR::,UBE2T::,Nanog::,SHP1::,CD4::,H‐2Kb::,mpx::,NOD2::,Phb2::,Oct4::,Mbd2::,Dgcr8::,Terc::,LGR5::,Wnt4::,PTB::,EHD1::,CDC50A::,Gnd1::,Nic96::,hsp42::,Sec16A::,Rubicon::,NRBF2::,SOD1::,Ex::,Cut::,COL7A1::,COLVII::,COUP-TFII::,FMRP::,dfmr1::,MORF::,CCR9::,CXCR4::,cKIT::,Cep152::,Centrin::,CEP164::,GOT2::,Shi::,Abca1::,GCN4::,PECAM::,Asm::,Ang1::,EDEM1::,ZEB1::,Olfm4::,Nurr1::,Nrf1::,AChRγ::,TNF::,TTN::,IL-10::,Ccnd1::,Adck3::,Coq9::,Snc1::,Sec61::,ypt1::,Ki67::,EEA-1::,IFN-γ::,PI3K::,Ape1::,PRKRIR::,CCR1::,CD11c::,Braf::,H-Ras::,Tgfbr2::,Thsb1::,C7::,Nkx-2.5::,Apc::,CD34::,KLHL3::,CK8::,p48::,NRP1::,Sema3A::,TGF-β1::,Id1::,smooth muscle actin::,E6::,MICA::,ubiquilin1::,Swi6::,Siglec‐7::,Mapt::,Aub::,Mael::,PTPRN2::,CFL1::,UnaG::,Il23::,CCM1::,KLF4::,sec3::,sec5::,sec15::,SLFN11::,RPA2::,PUMILIO2::,DCP1a::,DDX6::,BRPF3::,P18::,raptor::,H3K27ac::,troponinT::,CD45::,glycogen synthase::,PEX::,KIF1C::,KIF5B::,MAP2::,IFN-β::,IL-6::,IFN-b::,CSF2::,Lyzs::,p38γ::,Ly6G::,YAP::,DFCP1::,PAQR3::,miR-10b::,aconitase::,Pitrm1::,Akt2::,Flk1::,NLRP3::,STAT2::,LukD::,LukS-PV::,Cdh1::,ATPcitrate lyase::,snR81::,Prp5::,KLF5::,ELF3::,ERG::,LIF::,sororin::,Col1a::,IFT88::,TLSs::,NDUFB8::,Yap1::,p21::,Mcm6::,MCU::,Uba2::,MCP::,FH::,MDI::,mdi::,Larp::,Hist1h2bc::,Ssh3::,NB-3::,Tuj1::,Fbxl17::,Rad23::,Munc18-1::,munc18-1::,AGO1::,MALAT1::,4E-T::,VCAM-1::,p150::,Ifnar1::,Cx3cr1::,FLCN::,β2AR::,α11.2::,SPOP::,WRNIP1::,ICP27::,c-Myb::,XBP-1::,Mmm1::,est1::,TKS5::,RAB2A::,p120::,TBX21::,IFNG::,Chaperonin::,Pgk1::,ICOS::,PD1::,IL-6Rα::,Bcl6::,Oct2::,NavMs::,Auroa A::,ERp57::,SV2::,mitofusin-2::,MBP::,CREST::,SOX9::,RNaseT1::,DIS3L2::,U12::,ErbB4::,LUBEL::,Gal4::,miR-449a::,miR-34::,PBL27::,igfbp1a::,PS1::,junD::,MET::,PolD4::,ste5::,Gemc1::,Ngn1::,CARD14::,MALT1::,Stag3::,SYCE2::,X-chromosomes::,SYCP3::,UBQLN4::,UBQLN1::,ORP5::,RBM15::,Sept2::,HUWE1::,PCNA::,Ift88::,Il1b::,EpoR::,R-spondin 1::,PALB2::,Wip1::,Sororin
P31750|Q9WUA6|Q60823	Akt::,AKT
64121	RagC
B2RWS6	p300
2589	T1
P42225	STAT1::,Stat1
Q9D8T2	GSDMD
945778	NTR
46156	Atrophin::,Atro
E0CZ16	KLHL3
8643	Ptch2::,ptch2
P12644	BMP4
253714	AUT2::,S100β::,β′-COP::,dRagA::,FYCO1::,HDAC6::,MuRF‐1::,LAS1L::,inlK::,MVP::,PDI::,CAMP::,α-hemolysin::,SseL::,Cox4::,Tom70::,p24::,TFEB::,Calreticulin::,epg-7::,W07G4.5::,Zwint‐1::,s5a::,Ubqln4::,miR-212::,XIAP::,CA II::,CA VII::,Uba1::,Mfn2::,DICER::,Atg14L1::,Bif-1::,Beclin-1::,mgm1::,TCF4::,Wnt3a::,Atg19::,GRL1::,ATG16L1::,IL-8::,Bax::,Rac1::,E-cadherin::,HA::,alanine aminotransferase::,KSHV‐TK::,noc::,KLK3::,NTR1::,CDF1::,IL-5::,IL-33::,PIASy::,GC‐G::,Nanog::,podocin::,EN::,CDC50A::,PRMT5::,LSD1::,SIGNR3::,Yki::,IL8::,HisCl::,Star::,miR-210::,PTPε::,CTLA-4::,SOD1::,TNF::,MURF2::,Ccnd1::,DDX3::,Coq9::,PRB1::,pep4::,DEC::,CCL6::,biquitin::,KLHL3::,Nsmce2::,IFN-γ::,HIF-1α::,DTR::,Syb2::,SLFN11::,ApoE::,PUMILIO2::,Ksr1::,CD22::,CD19::,Mic27::,Lyzs::,YAP::,NRAS::,CASP1::,IRF7::,McIdas::,chm::,mkkk7::,FoxM1::,IFT52::,NDUFB8::,miR-515-5p::,BDNF::,TrkB::,CR1::,Fus::,WRNIP1::,Smad2::,plasminogen::,IL-2::,HuR::,TUJ1::,FUS::,LUBEL::,igfbp1a::,PolD3::,H4::,CD34::,TAZ::,Pin2::,Dln1
152559	PAQR3
1734	Dio2
A1Z9X0	aPKC
P07522	EGF::,Hsc/Hsp70::,SUMO‐3::,BCL‐2::,NAF‐1::,RyR1::,inlK::,Tom1::,NS5A::,ATG16L1::,NeuN::,lamin B1::,PlcA::,Atg34::,pnp1::,SQST‐1::,miR158B::,Bax::,Bak::,GC‐A::,MBD2::,PCNA::,Snq2::,Cd11b::,LXRα::,Ccm1::,ERK5::,NANOS3::,DCP1a::,β-catenin::,MAP-2::,TBK1::,RAB2A::,MKK1::,MALT1::,fft2::,Prox1a
20604	Tub1p::,apg16::,Apg16p::,apg12::,S100β::,npc1::,ddit3::,Aβ40::,Atg8b::,Dcp-1::,polyUb::,RagB::,dRagA::,Jumpy::,VCP::,HDAC6::,Fis1::,Atg16L1::,HMGB1::,TGN46::,Gal4::,sav::,ura4::,E1::,HD::,inlK::,MVP::,TAK1::,myosin VI::,Pex30::,sgk1::,lgg-1::,atg-18::,Il18::,nestin::,Atg30::,gba::,PrP::,CAVII::,survivin::,PLS3::,CPY::,HBx::,PPP2R1A::,SCH9::,PDH E2/E3::,S6::,ATPsyn-α::,GRL1::,TFEB::,rpt‐3::,ATF6::,GRI::,Bak::,cay1::,SOS1::,ZO-1::,HA::,IBA-1::,Cx3cr1::,Twi1p::,CDF1::,Ataxin‐3::,CD3‐ζ::,Syk::,NOD2::,Phb2::,EN::,Dgcr8::,Oct4::,LRP6::,Tfn::,OCT4::,VHL::,ufd-2::,LSD1::,Rag1::,FMRP::,Dfmrp::,MORF::,Ccno::,Shi::,miR-210::,XBP-1::,miR-200::,Foxa2::,IL-10::,Coq9::,atg2::,Sec13::,are1::,rhodopsin::,C7::,serpin f2::,Dnmt2::,KLHL3::,AID::,Nsmce2::,CCM3::,E6::,AREG::,NKG2D::,SHP‐1::,UBF::,Mapt::,α3::,PLCβ1::,HIF-1α::,CD206::,CCM1::,ade6::,SLFN11::,NANOS2::,HBO1::,Bax::,netrin-1::,CD22::,CTCF::,WIPI2::,cMyc::,MAP2::,p38γ::,miR-10b::,Flt1::,MKKK7::,GSK3β::,ICAT::,STAT5B::,LIF::,Klf4::,Yap1::,Lrig2::,RNase H2::,FIP3::,DRP1::,MCU::,SUMO2::,53BP1::,RagA::,eIF4A::,NAT1::,PSD95::,Ubp6::,Munc18-1::,MALAT1::,p150::,Nemo::,GADD45β::,Rab34::,Gli3::,H2A::,TBK1::,Cdk1::,Pgc1alpha::,plasminogen::,plasmin::,Nuf2::,OSM::,EGOT::,VPS41::,FUS::,Fstl1::,IL-2::,Ago2::,Rab1a::,OFD1::,PTPIP51::,GSK-3β::,GSDMD::,ABH1::,SOX9::,UbcD10::,Mef2::,bactin::,ACOT7::,F9::,Sca1::,CD45::,MALT1::,SYCP1::,IL-2Rα::,ORP5::,Bch1::,Dln1::,DNA-PK::,EpCAM::,ptch2
2952533	UL54
20339	Sele
2703374	thymidine kinase
52064	Coq5::,COQ5
P00441|P04179|P08294	superoxide dismutase::,SOD
O46111	Uba1::,UbE1::,Ube1
Q8QZY3	STELLA
2280	FKBP
P00338|P07195	lactate dehydrogenase::,Lactate dehydrogenase
P01193	POMC::,ACTH::,α‐MSH
P48381	RFX3
27374	PRMT5::,Prmt5
12442	CCNB2
Q8R4Z9	Mfn1::,MFN1
43193	Pdf
P18242	cathepsin D::,catD::,Cathepsin D
853275|855898	pka
19122	PrP::,Prnp
P31751|Q9Y243|P31749	Akt::,AKT
6647	cathepsin L::,TUB2::,APG12::,EGF receptor::,Tsg101::,α-amylase::,OPA1::,LGG-1::,EGF::,SOD::,AMPK α 1::,Atg16L1::,SOD1::,Vti1b::,SIRT1::,red1::,actA::,ASC::,deg‐3::,p24::,Ret::,Bim::,MCUR1::,Atg30::,AIN‐1::,ATG16L1::,PLS3::,Fbxo7::,Rosa26::,Fas::,P70S6K::,rNDP52::,Rpl25::,FKBP15::,REST::,Cup1::,AGO6::,GRI::,Bax::,ZRF1::,irk3::,IL-6::,γH2AX::,H4::,CD133::,Dusp5::,HSF1::,amiA::,NAV3::,Dgcr8::,miR‐371::,cac::,SIGNR3::,TRA‐1‐81::,Car::,Asm::,caspase-3::,ZEB1::,CYP27B1::,TH::,Pparß/δ::,TNF::,CDK4::,Coq9::,ovalbumin::,IFN-γ::,Tsc22d3::,CD68::,Smad2::,Catnb::,CUL3::,Serpine1::,E7::,IgG2a::,LRRC8D::,pol-III::,SLFN11::,ABL1::,DCC::,Lyn::,CD22::,IL3::,Wbp2::,PCM1::,Stat1::,gTbr2::,LukE::,ICAT::,CTCF::,Cdca5::,CDC42BPA::,FUS::,Fus::,INVS::,Rad23::,Munc18-1::,FLCN::,MVIIC::,Tdp-43::,uPAR::,uPA::,Pli::,Tom40::,Yah1::,cycb1;1::,Chm7::,igfbp1a::,Aβ::,H2AX::,GALC::,Wbp5::,UBQLN4::,IDH2::,HUWE1::,Chs5::,Pin2::,EpoR::,Epo::,noggin::,ATR::,miR-10b::,Sororin::,SYCP3
Q5MNZ9	WIPI1::,WIPI1a
