P39052	Dyn2
P32368	sac1
2542080	mei2
574332	CD95
55835	CPAP
22370	Vtn
P02812	IB4
P50114	S100β
505306	TCRß
P0C7M4	RHOF
178561	atg-9::,ATG-9
10733	Plk4
57804	POLD4::,Pold4::,PolD4
P53236	RSC
Q8BSK8|Q8BLK9|P18653	S6K
A7MB16	eIF3η
79240	Nr4a1
15481	PS1::,LC3::,cortactin::,Red1::,UBF1::,Atg12::,epg-8::,CA II::,Mfn2::,TSC2::,MiroS::,MIC1::,bec-1::,CTSD::,LGG‐1::,galanin::,IL-6::,YFL034W::,TRF2::,calnexin::,Wnt4::,PECAM::,K-Ras::,miR-511::,Sema3C::,MICA::,IL‐8::,Lyzs::,CD11b::,ICAT::,Rnaseh2b::,SUMO1::,Ifnar1::,Mdm10::,nmt1::,collagen I::,bactin::,Pfkfb3::,ATR::,CD31::,INPP5E::,FBW7::,Hsc70::,IP3R3::,CD34
5861	Rab1a::,RAB1A
Q645M6	FADD::,FADD-D
S8GIQ9	Atg8::,atg8::,ATG8
34924	cyclin E::,Cyclin E
22695	aut2::,SipB::,LC3::,dRagA::,htt::,DHR3::,MuRF‐1::,Rab7::,ATG8::,HD::,IMC1::,Beclin‐1::,IL-1β::,NEMO::,Hla::,Bim::,SQST-1::,casp-1::,nestin::,NCAM::,Gal4::,cholera toxin subunit B::,WASH::,ZFP36::,parkin::,Ape1::,atg‐7::,rho::,CALM::,Itch::,GRI::,PHD3X::,HNF4::,IRF-1::,Dusp5::,TRAF6::,THEMIS::,Phb2::,Crb::,AR::,Aβ40::,CENP-F::,DEC-205::,DEC::,CAND1::,NRP1::,MICA::,dystrophin::,KLF4::,Bmp6::,SMAD1::,HSP70::,CDC45::,EGF::,Tie2::,KIF1::,TESK1::,TOMM20::,Ku70::,larp::,Uhmk1::,CD45::,collagen 3A1::,GADD45β::,RILP::,TGFβ::,EGOT::,gp6::,Bob1::,CPAP::,GSDMD::,IGFBP1::,MET::,Chk2::,Trpml1::,HOXD10::,miR-10b::,PTEN::,Gli2a::,Shp2::,TTP::,CD44::,iNos::,ASPM::,HOIP::,H2AX::,CHD1::,Vegf-a::,Insulin::,VE-cadherin::,pwi::,EGFR::,Psat1::,PS1
Q9UKX2	TLN::,Buffy::,ATG10::,ura4::,Cdc2::,SCOC::,Ret::,Tmem26::,PSD-95::,PTEN::,Spo20::,myosin II::,Sox2::,fab1::,Coq9::,XRCC4::,SMAD2::,Mapt::,BMP6::,PUMILIO2::,Transferrin::,FRK1::,Tfcp2l1::,GSDMD::,miR-7a-1::,MAPKKK5::,PBL27::,Ap2a1::,CYLD::,SYCE2::,SRP54::,miR-10b::,Flk1::,UCP1::,YAP::,MF20::,FBXO7::,Apc
O17581	Scc4
10241	NDP52::,hNDP52
P35222	β‐catenin::,β‐Catenin::,β-catenin::,β-Catenin::,p120 catenin
Q92560	H2AK119ub1
10714	POLD3::,PolD3
Q80U93	Nup214
Q6Q1S2	BE2D3,
Q9JLV1	BAG3::,bag3
Q8TD16	BicD
Q6W0C5	STELLA
68652	Tab2
Q9ESX5	DKC1
55578	p38IP
303539	Gcn5
283971	MRCL3
P50454	HSP47
852810	rpb9
Q00613	HSF1::,Hsf1
211323	p38IP::,BIK::,Sin1::,ypt7::,GlyPi::,Coi12p::,TAB2::,Raver1::,Tfn::,LSD1::,COL7A1::,CTLA-4::,IL-12::,H19::,CD31::,hsfa2::,Tie2::,CD22::,MAP1A::,p53::,E2F8::,TRPV2::,AP::,Chk1::,Wdr41::,Plasminogen::,Trt1::,α-mannosidase::,Acta2::,Pax-6::,TBK1::,MALT1::,VAPB::,TWIST::,Ret::,VCAM-1::,LUCAT1::,Klf4::,Nrg1::,GM-CSF::,MYC::,PD-L1
226153	PEO1
7152780	RyeB
P28676	l-plastin
Q924W5	SMC6
558760	taf15
Q9NP55	BPI
P23563	TNFSF2
Q9I8T7	BMAL1::,ZT13
Q4R7X8	OSKM
Q8VI36	paxillin::,Paxillin
10000	Akt3::,AKT3
Q69ZF7	CNNM4
G7PQ03	CD20
A0A1G7MY72	Khc
Q9CQJ7	securin
Q9H1Y3	OPN
P09228	cst-2
Q05086	Ube3a
O03983	XO8
Q62167	DDX3
Q59P39	EFG1
2847729	GadY
3099	Hk2::,HK2
25793	npc1::,GAPDH::,Tsg101::,TLN::,fem-1::,cathepsin::,EGF::,TIGAR::,cortactin::,cytochrome c::,Fis1::,wts::,ft::,Red1::,Pla1::,SUMO1::,TAB2::,Hla::,SseL::,OM45::,Beclin 1::,ALP::,Tom1::,protease K::,ATG16L1::,Parkin::,EPG-7::,LGG-1::,Il18::,casp-1::,Ripk2::,gba::,CerS1::,SNX18::,SQSMT1::,Fbxo7::,da::,Atg19::,spns1::,REST::,ERdj3::,Secretagogin::,GRI::,mc9::,Bak::,STIL::,CPAP::,Nestin::,EMP1::,PI5P4K2C::,Noc::,pif5::,FXR::,GC‐G::,c-Myc::,Lamp2::,Syk::,podocin::,LGR5::,LRP6::,STELLA::,Htb1::,RORγt::,BMP4::,Centrin::,VHL::,endothelin-1::,miR-210::,β1 integrin::,Acsf2::,Coq9::,Snc1::,pep4::,TNF::,Kcnq1::,Tex11::,Tsp1::,Ctgf::,TGF-β1::,SCP3::,Nsmce2::,YAP::,CD56::,Siglec‐5::,TLR13::,gephyrin::,PECAM1::,SMAD1::,GAL4::,eIF2a::,KIF5B::,KIF1B::,CD4::,OTUB1::,Myh7::,VEGF-A::,CASP1::,PCM1::,Cas9::,TRPV2::,atpcl::,mkkk7::,Axin-2::,TPO::,TIMM23::,Yap1::,Tead1::,FIP3::,C3b::,HDAC1::,NB-3::,PS1::,Akt3::,SirT7::,Fbxl17::,Munc18-1::,G45b::,ω-conotoxin GVIA::,WRNIP1::,RCC1::,STING::,Smad3::,IRE1α::,Pgc1alpha::,imp2::,EGOT::,CD28::,HuR::,eIF-4E-BP1::,C9orf72::,ERp57::,TBK1::,RAD51::,snf7::,MAPKKK5::,DNGR-1::,Phosphogluconate Dehydrogenase::,p21::,GEMC1::,Ngn1::,UBQLN4::,RUNX1::,HUWE1::,CCNB2::,Chs5::,GASZ::,MVH::,Trpml1::,pericentrin::,PALB2::,CD34::,FBW7::,E-cadherin::,KRT23::,BAF170::,CYLD::,Gal4::,rd1::,POGLUT1::,Bcl2::,Ahr::,IL-17A::,FBXO7::,otoferlin::,CNNM4::,Tm1::,Ki67::,Miro1
C1P5Z7	SgrS
Q61315	CC1
A8E2V8	DPPC
Q8N884	cGAS::,cGas
P48023	FasL::,FASL::,Fasl::,CD95
31230	z:
Q9EPW9	TLR6
283650	IgA1
Q9Y297	β-TrcP
Q9EPQ1	TLR1
18591	Pdgfb
O88572	LRP6
24377	G6pdx
P23771	Gata3::,GATA-3
A0A0D5CP40	NS3
7474	Wnt5a
Q8IX21	IgA2
W8ERV4	Erv4
2540487	Rpt6
15289	HMGB1::,Hmgb1
Q9R0G7	ZEB2
5658323	TTF
13435|13436	Dnmt3
Q8WTT0	BDCA2
556456	Pold1
Q9D906	Atg7::,ATG7::,atg7
22883	cst-1
10763	PtdIns 3‐kinase::,bec-1::,Bruce::,GABARAP::,M45::,ALP::,TMEM59::,Rab12::,miR-212::,LC3‐C::,miR-16::,PlcA::,CD40::,titin::,Gr-1::,Atg19::,Yip1A::,Ki-67::,PR::,survivin::,GRX2::,TNF::,IFN-γ::,CD31::,YAP::,Siglec‐14::,FZD4::,Tamas::,EGOT::,CD127::,CD4::,junD::,p21::,PTPIP51::,cofilin::,Tek::,Chs3::,fft3::,grk2::,Aurka::,COX4::,Hrr25::,I-SceI::,Smc3::,Nestin::,CCM1::,NESTIN::,NMHCIIA
A0A270Q6E0	IR1
Q8YAC9	CBD
O08811	IIH6
84557|81631|440738	LC3
Q9C8L4	ETHE1
23657	SLC7A11::,xCT::,Slc7a11
Q64669	NQO1::,Nqo1::,nmo
302	ANXA2
291709	SLC25A46
81879	Tfcp2l1
175070	bp399::,rpl‐43
28920	IGKV
O41515	LC3-I/II
P08113	Gp96
477	FHM2
379215	H2A.Z
842859	ft::,Ft::,FT
94232	Ubqln4::,UBQLN4
246303	Serbp1
83743	prb1::,VDR::,DR5::,Atg4::,Aminopeptidase I::,AIF::,Vps24::,LC3::,crmA::,ref(2)P::,TIGAR::,FYCO1::,DOR::,Atg16L::,DRP1::,Nrf2::,Atro::,pka::,BAD::,MVP::,MurRF1::,BI‐1::,TAK1::,RB1CC1::,Ret::,LC8::,Beclin 1::,CENP‐E::,ZW10::,Uba1::,let-7a::,Rheb::,ATM::,HtrA2::,dnm1::,Pex14::,Atg34::,spns1::,Gla::,lin‐35::,LGG‐1::,STIL::,LC3-II::,Mgat3::,KSHV‐TK::,atntr1‐1::,HSF1::,Mfa1::,Ly-6G::,Dgcr8::,LGR5::,PIGX::,TFG::,ManII::,COLVII::,Car::,Rh1::,Abca1::,ATG9B::,Coq9::,Coq5::,UBC::,Kcnq1::,Braf::,Iba1::,Tex11::,Nrp-1::,apyrase::,p48::,VEGF::,Rab13::,PLCβ1::,Ang-2::,ral::,RPA1::,Smac::,CD19::,BsaHI::,TET1::,eIF2a::,NPY::,miR-10b::,ABCB8::,VEGF-A::,STAT2::,LukE::,LukS-PV::,FoxM1::,IFT88::,TRIM28::,nos::,PTPσ::,PEN-2::,p150::,α11.2::,Smad3::,Apoe::,Bob1::,Tbk1::,ku70::,SNAP29::,SLUG::,OTULIN::,igfbp1a::,MET::,Aurora Kinase A::,LRSAM1::,Sept2::,Pecam1::,Eng::,Aldh1l1::,NLRP3::,Usp9X::,NTN1::,ob::,miR-21-3p::,TNF-a::,SGK3::,INPP5E::,C9orf72::,VIM::,FOXA1::,Myh7::,I-SceI::,Nrg1::,GRWD1::,cdc14::,FBXO7::,TH::,Parl::,TONSL::,Mdm12::,β5::,GATA4::,Lysozyme
P49743|Q05343|Q5BJR8	RAR
59010	p38IP::,ft::,ATG16L1::,epg-7::,LGG-1::,nestin::,PrP::,oxytocin::,H2AX::,Insr::,PAT1::,CTxB::,acid sphingomyelinase::,PCNA::,β-catenin::,Coq9::,atg11::,Snc1::,Snq2::,Lgr5::,PVALB::,AREG::,SLFN11::,PIK3C2B::,H3.3::,Nde1::,CYLD::,IL-6::,CCL5::,DRP1::,CD45::,CD4::,PARP-1::,Sqr::,Tek::,vinculin::,TH::,p62
Q9UDX5	mTFP1
852663	mig-2
562066	Lrsam1::,LRSAM1
Q6RI86	TRPA1
Q8CM25	TLR 9::,TLR 7
54128	Pmm2
826409	mekk1
Q8CFE5	SNAIL2
12161	Bmp6::,BMP6
Q12772	Sre2::,sre2
100507436	MICA::,MicA
O62807	PPAR-γ
P53152	Mms2
Q6DHK7	Irf8
Q71SV0	LAPTM4B::,LAPTM
181719	ain‐1::,AIN‐1
100685486	Synapsin-1
P02814	PRL3
293820	Psat1::,PSAT1
Q99661|Q8N4N8|O00139	KIF2
Q99684	Triad1::,Gfi1
829904	cycb1;1::,CYCB1;1
P00738	HP1y
P22855	Ams1::,α-mannosidase
P01573|P07351|P07349|P01572	IFN-α
641495	POGLUT1::,Poglut1
16452	Beclin‐1::,cholera toxin subunit B::,Stat3::,Mfn2::,Atg16L1::,Fbxo7::,Ift88::,Aldh5a1::,Dcp-1::,IL-8::,sgcn::,Bak::,CTGF::,CD69::,NAV3::,desmin::,TFEB::,Rcan1::,p53::,Rpp30::,GAL4::,CD45::,Yippee::,HIF-2α::,Fbxl17::,p150::,Rab1a::,PDIA1::,OTULIN::,γ-tubulin::,HIF-2::,MALT1::,SMAD7::,Jak2::,Hcp::,troponin I
Q149C2	IFT54
Q62433	NDRG1
381038	dS6K::,Hla::,LGG-1::,λPP::,Catalase::,RINT-1::,p62::,ULK1::,proteinase K::,REST::,ERdj3::,Bax::,SAS-6::,HSF1::,c-Myc::,Yip1A::,miR‐294::,Terc::,GAL-3::,CCR9::,STELLA::,TP53INP1::,ypt1-1::,Kcnq1::,CD206::,Mx2::,KLF5::,Axin-2::,CXXC5::,Lrig2::,MCU::,ICP27::,Fstl1::,PTPIP51::,GSDMD::,cycb1;1::,FBW7α::,RNF168::,PIPKIγi5::,SERCA::,Act::,ATF3::,NURR1::,PARL::,Parl
Q5NCH9	mGluR6
52906	Ahi1
P15455	12S
P9WJ63	16S
4170	Mcl‐1::,MCL‐1::,Mcl-1::,Mcl1::,MCL1
100329721	CNNM3
Q60961	LAPTM4A
A0A0K1YX98	bam3::,BAM3
368320	Geminin::,geminin
1236	CCR7
312574	Lrig1
Q8SY33	GW182
110147	Ehmt2
3482	M6PR
112400	apg16::,Apg12p::,vitamin D receptor::,PS1::,TAB3::,N-Shh::,Sph1::,mec-4::,epg-6::,nmt1::,THEMIS::,CnA::,btn2::,SRF::,SMC5::,SMAD1::,BRPF3::,TBPH::,Rnaseh2b::,Sld7::,GADD45β::,trt1::,Ape1::,cycb1;1::,Gpr124::,Stag3::,CX3CR1::,ANG-1::,Nrg1::,IL-4
Q9NPY3	CD93
Q9C5H5	mapkkk5::,MAPKKK5
11639555	chuA
19211	Pten::,PTEN
P01849	TCR
P10651|P09988	H3
Q2KHV4	PARL
2703489	t(
100101794	BAF170
Q8N137	Centrobin
Q9W555	ARCN1
83547	RILP
P49722	dRagA::,HDAC6::,Red1::,Jnk2::,Sgk1::,IL-18::,α-MHC::,Miro::,EGF::,LC3β::,spns1::,CALM::,THEMIS::,LGR5::,NCOA5::,COQ7::,UBQLN1::,TNF::,TGF-β1::,Vegfd::,NCL::,CD22::,VEGF-A::,MNase::,G45b::,Gli3::,Smad2::,uPA::,gp6::,USP19::,cycb1;2::,DNGR-1::,igfbp1a::,Kap1::,msn2::,VGLUT1::,Mfn2::,H4::,ZEB1::,Lats1::,p97::,PSMA2::,LLO
852765	Sld3::,SLD3::,sld3
12918	Crh::,CRH
854417	pus7
Q9LVF0	SGT
Q15904	ATP6
100131187	TST
30849	Vps15::,VPS15
257397	TAB3
O88569	hnRNPA2
100271861	Cdkn2a::,p16Ink4A
288731	PGAM5
Q9V2V5	PSMA2
373917	galectin-3
30968	SLP2::,Slp2
Q9JIF7	β'-COP::,β'COP
406883|406881|406882	let-7
A0A212IG60	TolB
P56818	retinoic acid receptor::,Bcl‐2::,PS1::,p62::,DAPk::,daf-15::,ULK1::,Bruce::,GM130::,FYCO1::,NAF‐1::,dS6K::,drpr::,HMGB1::,MVP::,TAB3::,Beclin 1::,Hla::,Atg11::,Ret::,Pep12::,MCUR1::,Mad2::,EEA1::,MSH-6::,Fbxo7::,ERK::,dnm1::,Rpl25::,VPS35::,WASH1::,spns1::,mdx::,TDP43::,NCOA4::,TFEB::,rpl‐43::,egl‐46::,Phsp‐60::,VAMP2::,FUNDC1::,GRI::,Bax::,CPAP::,PHD3X::,BACE1::,Bace1::,APOE::,KSHV‐TK::,FT::,Hand1::,Yip1A::,FimA::,NOD2::,Phb2::,EN::,LGR5::,APC::,nPTB::,Tfn::,ω-agatoxin TK::,kibra::,FMR1::,dfmr::,GOT2::,HMBOX1::,Abca1::,miR-210::,ISCU::,ACTB::,BECN1::,Ly6G::,TAT::,Twist1::,Coq9::,Sec61::,Aβ42::,γ-H2AX::,Pgk1::,SMA::,CUL3::,caspase-3::,NSMCE2::,VEGF-C::,Swi6::,tas3::,Orb::,PLCβ1::,desmin::,VE-CADHERIN::,Klf4::,exo84::,NANOS3::,TBPH::,CD8::,Syk::,RAB1A::,Ctnnb1::,HDAC6::,p38γ::,NRAS::,CYM1::,VEGF-A::,Cas9::,TRPV2::,FoxM1::,PAPP-A2::,ApoER2::,PGC-1β::,TrkB::,p21::,CaMKII::,SOD2::,Fibronectin::,p135::,FLCN::,Rab34::,β2AR::,GluA1::,WRNIP1::,miR-150::,Dio2::,PAI-1::,Atg19::,Foxo3::,MAVS::,cyclin A::,FUS::,cdkb1;1::,Snap29::,FBW7::,Gal4::,Aβ::,smooth muscle actin::,Cetn2::,Pax6::,IL-2Rα::,CD41::,Hsp60::,EpoR::,Hrs::,NLRP3::,miR-34a::,miR-208b::,HP1a::,Mtmr2::,CD11b::,CD4::,Gata6::,Myd88::,pho8::,pep4::,HUWE1::,mpk4::,CD68
106025	aut2Δ::,aut2::,APG12::,npc1::,RAR::,Atg4::,GATE‐16::,rp49::,Bcl‐2::,Tsg101::,p62::,PS1::,Htt::,p55::,VmPE-1::,COX I::,eat-2::,LGG-1::,daf-15::,TRAIL::,LC3::,Atg4B::,dRagA::,RagC::,MTM1::,Jumpy::,Atg16::,p38IP::,p38α::,LC3B::,FYCO1::,α1S::,laminin::,htt::,DHR3::,Fis1::,drpr::,act::,Atg16L1::,epsin 1::,hVps34::,Hmgb1::,HMGB1::,Beclin1::,Vti1b::,VAMP7::,Sqa::,Ulk1::,ZIPK::,red1::,mcp5::,mmi1::,ura4::,mei2::,WDR18::,MDN1::,SUMO::,ARL8B::,Aim2::,JNK1::,inlK::,InlK::,Atg8::,Beclin‐1::,IRE1::,TRAF2::,TAK1::,TAB2::,BCN1::,M45::,mec‐4::,CK2α::,RagD::,Tcfeb::,LAMTOR2::,FEZ1::,SCOC::,ULK1::,optineurin::,Hla::,OM45::,Atg36::,Ret::,LC8::,Atg13::,T6BP::,Tom1::,Atg12::,MCUR1::,p38::,Epg5::,SQST-1::,epg-7::,FIP200::,miR-212::,α-MHC::,lim‐6::,ALG‐2::,gba::,lamin B1::,XIAP::,CA II::,CA VII::,ATG5::,Mfn2::,miR-16::,TSC1::,TGN46::,MVb::,VAMP3::,WASH::,Beclin 1::,Ambra1::,RINT-1::,Lysosomal acid phosphatase::,ALP::,msh-6::,Fbxo7::,ATG16L1::,EGF::,ATG4B::,MIC1::,Beclin-1::,ATG14L::,Hsp78::,CIP2A::,S6K1::,Pex14::,HACE1::,β‐catenin::,PDH E2/E3::,PDH E1a::,rNDP52::,NDP52::,Rpl3::,Atg34::,ypt7::,FKBP15::,VPS35::,proteinase K::,TFAM::,Complex V β::,invG::,spns1::,OFD1::,TDP43::,spr-4::,AR::,Cup1::,Tau::,SQST‐1::,bec‐1::,lin‐35::,MTM‐3::,CALM::,Itch::,CD8::,Gzmb::,ERdj3::,secretagogin::,CRH::,GRI::,Bax::,Cdc14::,centrin-2::,Rac1::,Ctns::,APP::,rab9::,Cx3cr1::,Alb::,STAT3::,PR-SET7::,CrkII::,Hox11::,Noc::,noc::,spac::,Twi1p::,COI12::,Hsp82p::,PA28α::,prr9::,pif4::,DTS::,Rab3-GAP::,AGBE::,SiglecF::,Dusp5::,IL-33::,CD69::,p300::,AMPKα1::,HSF1::,GC‐A::,GC‐G::,Mfa1::,Dectin-1::,TNF-α::,NOD2::,Phb2::,S6RP::,PrP::,AGO4::,TAS1c::,Dgcr8::,miR‐290::,LGR5::,Terc::,LRP6::,ERα::,Wnt4::,Tfn::,Prmt5::,Gnd1::,hsp42::,VHL::,Htb1::,IP3R2::,TFG::,NRBF2::,Vps34::,SlpX::,Yki::,COL7A1::,COUP-TFI::,KCNJ3::,MSL1::,ABL::,BCR::,PD-L1::,BDCA2::,Ccno::,α‐tubulin::,MDH2::,Shi::,Dcr2::,Asm::,ZEB1::,CYP27B1::,AChRα::,PGC-1α::,SOD1::,TNF::,Smad6::,cyclin B1::,Ccnd1::,ypt1-1::,Kar2::,Snc1::,ypt1::,XRCC4::,K-Ras::,ERT2::,UBQLN1::,Park2::,TNFR1::,miR-511::,CD31::,are1::,MEK1::,CCR1::,NPC2::,53BP1::,MFG-E8::,IL-1β::,C7::,Asma::,Smad2::,LXRα::,Col1a1::,Catnb::,KLHL3::,CUL3::,AID::,PHD1::,IgG2a::,NSMCE2::,BRCA1::,Nsmce2::,PECAM1::,E6::,AREG::,TGF-α::,IFNγ::,Rab8A::,Siglec‐14::,TNFα::,Siglec‐5::,LRRC8D::,Rpp30::,NURR1::,T1::,T3::,BAK1::,CD11b::,CD45::,CD206::,CHCHD10::,caspase 3::,CCM1::,CLAUDIN5::,KLF4::,ERK5::,SMAD1::,Syt11::,YAP::,sec5::,sec15::,RPA1::,PCNA::,BRPF3::,Raf-1::,netrin-1::,net-1::,VDAC3::,CD25::,CD19::,CD22::,TRAPPC4::,caspase-12::,β-III-tubulin::,IL-6::,Dyn1::,B2m::,Lyzs::,PAQR3::,OTUB1::,NRAS::,miR-10b::,ABCB8::,Wbp2::,PITRM1::,CYM1::,CASP11::,VEGF-A::,Stat2::,p53::,Cas9::,HlgC::,HlgA::,LukS-PV::,FOXJ1::,MKKK7::,Prp5::,snR81::,ELF3::,Wnt-3a::,GSK3β::,FoxM1::,STAT5::,Stat3::,Rad50::,p21::,Nanog::,Esrrb::,MARK4::,Lrig1::,TrkB::,tau::,CXCL10::,CCL5::,mcm6::,cytokeratin 7::,MCU::,Uba2::,Ubc9::,NAT1::,FH::,MDI::,mdi::,Tamas::,Fus::,HDAC1::,FUS::,NB-3::,PTPσ::,DCX::,APH-1::,PDK1::,INVS::,MNase::,Rad23::,Munc18-1::,NEMO::,GADD45β::,db::,IFN-b::,Ifnar1::,Rab34::,FNIP2::,SPOP::,C9orf72::,nap1::,WRNIP1::,BRAF::,FRMD6::,AKT::,uPAR::,VN::,EGOT::,BSA::,AKT3::,miR-122::,Btla::,Bcl6::,USP19::,Ub::,Nde1::,sur-5::,PTPIP51::,Tbk1::,MBP::,cycb1;2::,cycb1;1::,CYCB1;1::,CyclinB::,SNAP29::,DIS3L2::,OAT::,HOIP::,Gal4::,JAM-A::,Nup170::,heh1::,Snf7::,PBL27::,MAPKKK5::,igfbp3::,bactin::,insulin::,Aβ::,CD133::,PKCδ::,Chk2::,Sca1::,Gata2::,Mettl22::,Hal::,PolD4::,nat4::,DP1::,Multicilin::,HIF-2::,TRAF6::,MALT1::,CARD14::,A20::,SYCE2::,UBQLN4::,TPO::,RBM15::,UNC-61::,SIRT5::,HUWE1::,noggin::,cortactin::,fft2::,PIPKIγi5::,Scl::,Gata4::,p27::,Shp2::,TUJ1::,DnaJC5::,ob::,miR-21-3p::,Il6::,UbcH7::,c-Jun::,Dsl1p::,Pparγ::,miR-132::,APPβ::,MFN2::,LIMT::,c-kit::,Ccr2::,PR::,Notch1::,mdx::,ERK1/2::,ASPM::,SHARPIN::,Shank3::,Rbd2::,rbd2::,Anp1::,Cdc48::,ANG-1::,ANG-2::,Sec18::,Gadd45a::,Gr1::,Sig1R::,IP3R3::,Mcm2::,BACE1::,EEA1::,Ahr::,TP53::,Act::,ATF3::,DIAP1::,IL-1R1::,MOG::,Gata6::,Cnm67::,STAT2::,VE-cadherin::,Sharpin::,p97::,Pep4::,pep4::,Lamp2::,pwi::,RKIP::,CLPP::,MTIF2::,28S::,Gp96::,mig-2::,ROCK1::,SUMM2::,Miro1::,CD68::,Ki67
404155	LAPTM4B
406882|406883|406881	let-7a
O35142	β'-COP
Q96AQ6	Pbx3::,PBX3
31204	Pcx
P10176	Mito
P04608	Tat
Q8N726	p14::,Cdkn2a::,p19Arf
P97302	Bach1
Q8K0D5	EFG1
D3ZCV0	ACTN2
Q99814|Q16665|P27540	HIF
851450	Kin28
P35285	ferritin::,GATE‐16::,Tsg101::,LC3::,catD::,OPA1::,vps-34::,Tor::,CaM::,Bcl‐XL::,Atg8a::,LC3B::,FYCO1::,htt::,Atg16L1::,Sqa::,ZIPK::,Atro::,Hsp70::,MDN1::,IL-18::,BI‐1::,CK2α::,SCOC::,Ape1::,Sph1::,LAMP-2::,Sgk1::,NOD1::,ATG-9::,Zwint‐1::,Ubqln1::,Atg30::,epg‐5::,SEPA‐1::,NDUFS4::,survivin::,Mfn2::,eIF2α::,S6K::,Atg38::,GlyS::,HACE1::,ACS2::,uga2::,Ref(2)P::,LAMP-1::,spns1::,atg19::,lgg‐1::,rpt‐3::,PRK5::,GRI::,Bak::,Clb2::,STIL::,ZRF1::,Ctns::,Aβ::,Cx3cr1::,FasL::,CrkL::,Rorγt::,FKF1::,CO::,Dmef2::,HSF1::,THEMIS::,CtIP::,Yip1A::,Sec24D::,Lamp2::,Phb2::,Ldha::,Dgcr8::,Mbd2::,LGR5::,nPTB::,EHD1::,hsp42::,Btn2::,Sec16A::,Vps34::,COL7A1::,FMRP::,FMR1::,MDH2::,Dor::,Shi::,miR‐125::,ISCU::,Asm::,Foxp3::,Snai1::,Nurr1::,Peli1::,γH2AX::,Coq9::,PRB1::,XRCC4::,TNFR1::,PI3K::,Kcnq1::,Tsp1::,Asma::,nestin::,Elastase2a::,PHD1::,Sema3A::,VEGF::,Nsmce2::,NSMCE2::,VEGFR-3::,CD28::,Rab8A::,Siglec‐14::,DnaK::,SIGLEC14::,UBF::,Iba1::,Mapt::,gephyrin::,dystrophin::,INPP5E::,CCM1::,AMOTL2::,CHK1::,NANOS3::,NANOS2::,Bax::,a-actinin::,CD4::,ULK1::,MAP2::,IL-6::,CD45::,p38γ::,miR-10b::,CYM1::,HKII::,VEGF-A::,STAT1::,gTbr2::,LukE::,Cdh1::,Pparγ::,TRPV2::,WRKY29::,snR81::,ADAM8::,LIF::,IFT172::,NDUFB8::,MARK4::,tau::,mdi::,Cav1.4::,PrKA::,Akt2::,INVS::,Munc18-1::,p150::,COL3A1::,db::,Slc27a5::,G45b::,H2B::,FRS2::,TGFβ::,αSMA::,uPAR::,VN::,Tom40::,ypt7::,EGOT::,miR-122::,VPS15::,Nde1::,Ub::,GSDMD::,cycb1;3::,cycb1;1::,CDKB1;1::,FBW7α::,FBW7::,MAPKKK5::,Eci1::,ste5::,FOXJ1::,SYCP1::,Stag3::,UBQLN4::,SIRT5::,PCNA::,HUWE1::,Vcam1::,Chs5::,PALB2::,fft2::,Gli2a::,Gli1::,p300::,Hand1::,Gata1::,alkaline phosphatase::,UCP1::,miR-21::,VCAM-1::,CXCR2::,UbcH7::,SF-1::,PS1::,Cdk1::,HOIP::,Dia1::,RORγt::,IL-4::,RIPK3::,53BP1::,ATM::,F4/80::,osteopontin::,YAP::,ATF3::,IL-1R1::,Pex13::,TOMM20::,Rab22a::,Apc::,Gr1::,IκBα::,Elp3
P15409	rhodopsin::,Rhodopsin
79186	sst::,Sst
851937	MRPS28
Q83PV6	GlpG
Q9CQA3	SDHB
512622	Jmjd2a
P63167	LC8
Q9R210	TFEB
P03069	GCN4::,Gcn4
8087	FXR1
Q9NR31|Q9Y6B6	Sar1
41785	UbcH5::,Ubc4
1827	RCAN1::,Rcan1::,dsc1::,Dsc1
P48320	GAD-65
K7A7J5	SIX4
P19429	troponin I::,cTnI::,troponin
P10826|P10276|P13631	RAR
100132406	ag1-::,ag1
P39533	Aco2::,ACO2
25	ABL1
26168	SENP3
Q9XWP6	SPR-5::,spr-5
1497151	MuHV‐4-TK
P21583	SCF::,stem cell factor::,c‐Kit::,SCF,GM-CSF
Q9Y613	CD21
36015	VAMP7::,Vamp7
O75530	Eed
Q96RL6	SIGLEC11
11335	DRP-1::,dRagC::,Hmgb1::,WDR18::,MVP::,M45::,SCOC::,CAMP::,CiCell::,CerS1::,β‐catenin::,Twi1p::,Sar1::,LGR5::,α-spectrin::,MDH2::,Pdk2::,APP::,IL-1β::,SHP‐1::,Siglec‐5::,PROPEP3::,fkh::,gp91phox::,eIF4A::,SMCR8::,uPA::,EGOT::,Fstl1::,Hcp1::,cycb1;1::,Snap29::,Gal4::,F9::,ERK::,Tlk2::,tau::,miR-21-3p::,INPP5E::,LIMT::,HP1y::,Brca1::,Mtmr2::,LLO::,mkk1
56897	WRNIP1
P46109	CrkL::,CRKL
Q9UK80	USP21
26420	Jnk2
Q9VZQ3|Q7KV69|Q7KV70	karst::,Karst::,Kst
A6ZX59	atg13::,Atg13::,ATG13
Q92NL4	NL4-3
Q8IZQ1	Alfy::,LC3C
26824	U11
P11802	CDK4::,Cdk4
Q5HYK3	methoxy-X04::,Methoxy-X04
1489725	NS5
108961	E2F8
Q9JI71	dll4
