J7HCD4	hCD4
12151	BMI1
Q4QQV8	CHMP5
Q12284	Erv2
Q6DJT9	collagen1::,Collagen1
294924	evi1::,Evi1
22084	Tsc2::,TSC2::,Bim::,epg-7::,p20::,p22::,rpl25::,Lamp2::,DTR::,Mef2D::,Oas1::,CTCF::,IFT80::,Sting::,SEPT6::,PIPKIγi5
6439	SPB
9569	ex7
Q9R1E0	CDK4::,Vps24::,BI1::,pnp1::,Lta::,FOXO1::,Foxo1::,ATR::,VEGF-C::,NPY::,PAQR3::,FNIP2::,ICOS::,miR-34c::,Hes1::,SMAC::,β6
Q6CR06	Rbd2::,rbd2
2540750	spbc19c7.11
P62987|P62979|P0CG47|P0CG48	ubiquitin::,Ub::,Ubiquitin::,Atg16L1::,casp-1::,UB::,Signr3::,STAT1::,PEN-2::,Rad23::,cycb1;2::,Cdk1::,Gata6::,Coq9
P22303	Acetylcholinesterase::,acetylcholinesterase
768133	Ezh2
1025	CDK9
51547	ddit3::,Tom1L2::,GM130::,Fbxo7::,ach1::,VPS35::,Dcp-1::,AR125Q::,NeuN::,Dusp5::,PrP::,Wnt4::,ex::,Ccno::,CCR1::,CCL6::,TGF-α::,Siglec‐5::,PTPRN2::,HlgA::,Prp5::,IFT88::,SirT7::,SIRT7::,RILP::,ICP27::,cycb1;1::,A20::,Sgo2::,CPT1b
14314	SCOC::,miR-212::,spns1::,EHD1::,ceramidase::,Fstl1::,Lrsam1::,Sororin
E9PEI6	Dpcr1
75599	PCDH1
17319	MIF
14955	H19
Q6UXV4	Mic27
30128	Wnt1
16159	IL-12p35::,Il12a
23581	CASP14
733615	alpha smooth muscle actin
103411735	PR5
P43508|P43509|P43507|P43510	cathepsin
246256	FcγRIV
436547	H-2Kb
Q99873	IR1
O60353	Fzd6
Q9CZU4	ERAL1::,Eral1
33218	Ape1::,miR-212::,Expanded::,Ex::,expanded::,ex::,α-actinin::,CD127::,GSK3ß::,Mpc1::,GATA4
245857	Ssh3
O94257	SPBP8B7.08c
O35488	LC8::,SLFN11::,FATP2::,cycb1;1::,junD::,G6PD
Q0SP70	sp70
7895853	GRA6
2100	ERT2
O14261	Taf1
79980	Dsn1
101450618	IgA2
Q8IU54|Q8IZJ0|K9M1U5|Q8IZI9	IFNλ
Q9Y243|P31749|P31751	Akt::,AKT
F1M208	Piezo2
68463	MRPL14
P17213	BPI
24438	H1.3
Q9Y2Q0	apg16::,TAB3::,Dusp5::,ATP8A1::,Ly6G::,NSMCE2::,Axin-2::,RAB2A::,miR-10b
779515	Jnk3
2828485	T7 RNAP
13367	Dia1
101109771	PLAA
14361524	ppm
Q7TPR4	Atg16L1::,α-MHC::,EndoH::,β‐catenin::,HRas::,Actinin::,EIF4A1::,FMR1::,Ccno::,Nsmce2::,CD11c::,ypt7::,GSK-3β::,VEGF-A::,Mtmr2::,GM-CSF::,actinin
P53157	Mpc1::,Mpc3::,mpc3::,MPC3
P16233	PTL
25274	TST
Q08230	SDH
31230	z:
748393	Suz12::,SUZ12
19456	Di11
397402	ADRP
Q1R3Z0	zapB
103485166	cytosolic aconitase
13335346	AnkG
403164	fibrinogen
Q9LNC5	Clo
Q12241	Vam3::,VAM3
111339199	aerolysin
12655	cpdm
946633	Gata 4
Q3U1J4	DDB1
P00360|P00359|P00358	G6PDH
404185	IGFBP5
217695	DFCP1
Q9M2Z1	bam3::,BAM3
A0A270Q755	IR1
Q9GNK5	PGPC
O08665	caspase-7::,Sema3a::,Sema3A::,CAP350::,ORP8::,CCNB
Q68801	Myc-14-3-3
P00734	thrombin::,DX5::,ThS
107338	Gbf1
Q80U70	Suz12::,SUZ12
10989	MIC60
Q3UIU2	NDUFB6
Q91428	Gata3::,GATA-3
436962	gata2b
O74957	AGO
1875	E2F5
231724	Rad9b
Q8JZQ2	AFG3L1::,AFG3L2
P02769	Tsg101::,TRAIL::,GABARAP‐L1::,DHR3::,InlK::,BSA::,BI‐1::,RagC::,FEZ1::,ATG36::,Bim::,Tom1::,atg-3::,SQST-1::,LGG-1::,epg-6::,miR-212::,β-integrin::,WASH::,Park2::,atg32::,Ape1::,Atg16L2::,bovine serum albumin::,hrr25‐ts::,Atg34::,Gzmb::,Spo20::,RBM14::,STIL::,PHD3X::,Mgat3::,PCDH7::,GC‐G::,AMSH::,LCK::,ERα::,Matrin3::,Sec16A::,Dgcr8::,MYH6::,Kcnq1::,PlexinD1::,E6::,gephyrin::,SMAD1::,TET2::,Lyzs::,OTUB1::,NAT10::,ELF3::,Wnt-3a::,Stat3::,MARK4::,FIP3::,FUNDC1::,ChAT::,Ptch1::,CD13::,Smad3::,HuR::,cycb1;1::,CDKA;1::,U5D::,apq12::,bactin::,Aurora kinase A::,Atp5g3::,IL-2Rα::,RBM15::,Ift88::,Bch1::,Hnf4α::,POMC::,UCP1::,RAD21::,APPβ::,IFN-γ::,HBsAg::,Myh7::,Ulk1::,ANAC032::,NANOG::,CD133::,IFN-β::,pep4::,chymotrypsin
5743	PTGS2::,Ptgs2
110846732	globin
6910	Tbx5
22370	Vtn
4087	Smad2::,SMAD2::,TGFβ-1
1248100	spiA
P00879	RBC
P61265	Syntaxin-1
331	XIAP::,cIap2::,Xiap
Q9P0L0	VAPA::,IFITM3
P0C573	HBeAg
56085	TGN38::,SipB::,UBQLN1::,dRagA::,DHR3::,GMR::,UNC‐57::,POMC::,Hla::,MCUR1::,Ubqln1::,MiroS::,ATG4B::,p22phox::,RE1::,atg34::,centrin-2::,PNGase F::,Aβ::,Sox2::,Dusp5::,GRM4::,Ki-67::,Snc1::,Trf1::,LRRC8D::,Abo1::,Mic27::,ANKRD1::,miR-515-5p::,HIF1α::,NB-3::,h3.3::,Munc18::,CD11b::,FLCN::,α11.2::,ATXN2::,Bcl6::,TUJ1::,PolD3::,Mavs::,TEX12::,Scl::,VEGF-A::,RORγt::,en::,IL-1R1::,α6::,Huwe1
14939	Gzmb::,granzyme B
Q91820	Aurka::,EG2
852291	p38IP::,uga2::,VEGF-A::,Ubp6::,Atg19::,HuR::,Sirt5::,Syntaxin 6
Q922E6	FASTKD2
55140	Elp3::,ELP3
20740	spectrin αII
364386	RNF31
52639	WIPI1::,WIPI‐1::,bi‐1::,Axin2::,CCR9::,BMP4::,YAP::,VIM::,Chk2::,EpoR::,APPβ::,Huwe1
Q5XFW8	Sec13
P21575|Q08877|P39052	Dyn
P40422	S1R
P14199	NPC1::,p62::,Ref(2)P::,ref(2)P::,P62::,Sqa::,Red1::,Cdc11::,TAB2::,α-MHC::,Mcip1::,EGF::,GLI2::,dnm1::,ddm1::,prk5::,MC9::,nompA::,CD3‐ζ::,ERα::,ubr1::,Sec16A::,Ccno::,Coq5::,Snc1::,LXRα::,Apc::,NSMCE2::,Ref(2)p::,CD45::,TRAPPC12::,CSF2::,VEGF-A::,LukS-PV::,IFT57::,Yap1::,Fus::,α11.2::,VN::,miR-122::,cycb1;2::,Chm7::,Cxcr4::,RBM15::,SIRT3::,GASZ::,miR-10b::,Ret::,PSD95::,α-COP::,RAD21::,Aβ::,Gr1::,hh::,galectin-8::,parp1::,Huwe1::,REF
P32803	Sed5p
Q9ZWA9	12S
P05219	nda3::,beta-tubulin
443457	PPAR-α
100135916	gnrh3::,GnRH3
782542	Onecut2::,ONECUT2
Q640N2	Arl13b::,Arl13B
Q19123	APS‐2
P37408	VISA
P09429	p27KIP1::,Vps24::,βCTF::,SipB::,HDAC6::,HMGB1::,Hmgb1::,Ret::,TH::,let‐60::,RINT-1::,Defa6::,SesB::,caspase3::,ULK1::,ddm1::,ApaI::,Rag2::,BTK::,NOD2::,Rubicon::,CCR9::,miR-210::,Atg-1::,CD68::,PHD3::,NRP1::,Mef2D::,YAP::,HSP18.2::,Foxj1::,ICAT::,Pou5f1::,Sld3::,Uba2::,ChAT::,NB-3::,Dgat1::,SEPT7::,FUS::,Aurora A::,NRG1::,bactin::,Epo::,RARα::,CPT1b::,AhR::,α6
363599	TNIP1::,Tnip1
815625	summ3::,CRCK3
8165	AKAP1
24604	NPY::,TMEM59::,CerS1::,KSHV‐TK::,LGR5::,SOD1::,RPA2::,pep4::,Tab1
12458	CCR6::,DN2
817155	Cup1::,cay1::,DTA::,hsfa2::,HSFA2::,Prp5::,uPA
Q8R4V0	SGK3
100049686	Staufen
Q9Y6V0	Bassoon
O60716	p120 catenin
N0DPS0	CD89
P25809	Creatine kinase
36496110	COXIII
25054	Red1::,spns1::,LCK::,Phb2::,PrP::,TH::,citrate synthase::,prb1::,IgG2a::,Rpp30::,raptor::,FoxM1::,cyclin D1::,TrkB::,CA IX
303214	TRIM16
A0JMM8	Irg1
P11047|O15230|P07942	laminin 511
105334328	caveolin
Q13489|Q13490	cIAP
Q9DDE6|B0R1C3	glucagon::,gcg
O08890	5HT1F
Q14683|Q8NDV3	Smc1
Q6AWX6	scar
P51151	hps4
Q10366	pik1
Q8CFU8	DOR::,SERCA::,BCN1::,dor::,Dor::,YAP::,Shp2::,Tek
Q8GUM1	eIF3η
Q2TA68	OPA1::,Ripk2::,GABARAP-II::,Opa1::,nPTB::,β-spectrin::,tenascin-C::,Activin::,gp8::,FBXO7::,Tab1
P97287	Mcl‐1::,MCL‐1::,gigi::,mgm1::,BMP4::,CD56::,Mcl1::,XRCC4::,MCL1::,p65
100861256	AGC
Q04697	eFF2K
853500	pol32
Q9H1E3	Ser19
36285729	Sft2
Q7Z4L0|P10176	Mito
Q64279	Hand1
2540612	siB2
P54673	pik1
504895	BCAS1
J7IPG5	PI3Kp110α
830502	GM130::,CG31935::,SlpA::,ral::,Cd22::,CD45RB::,uPA::,ABH1::,cycb1;2::,CYCB1;2::,Dln1::,Shp2::,Ldha::,HOIP::,TRIF::,Apc
100362548	Elp3::,ELP3
35509	SipB::,pha-4::,ap::,RagB::,IL-18::,Mdm2::,EGF::,HACE1::,β‐catenin−/ΔS45::,Caspase3::,AP::,Dgcr8::,ERGIC‐53::,TH::,Sec61::,Hmg1::,VEGF::,MICA::,CD56::,NRAS::,OTUB1::,MKKK7::,INVS::,β2AR::,GluA1::,EGOT::,bactin::,YAP::,TNFα
68728	APG16::,PS1::,DOR::,cortactin::,PDI::,Sph1::,Atg16L1::,LLO::,Phsp‐4::,ddm1::,GNL2::,DC‐SIGN::,dor::,Dor::,miR-210::,miR-203::,Rab8A::,AMOTL2::,PPP3CA::,ICAT::,miR-150::,fibronectin::,collagen I::,doa10::,SMI32::,igfbp1a::,Pdx1::,APC::,CARD14::,Gata1::,p27::,Aβ::,rhodopsin
17187371	ppm
12797995|268755|70441	miR-124
P48820	Nup358
218914	Wapl
P68133|P62736	actA::,ActA::,nmt1::,EN::,SLFN11::,eIF4G::,Multicilin::,PGC-1α::,Ahr
22418	Wnt5a
285313	Igsf10::,IGSF10
24088	TLR2::,Tlr2
P14404	evi1::,Evi1
3253051	slpX::,SlpX
P12841	c-Fos
58498	myl7
935882	HEL
Q9VQZ6	Elp3::,ELP3
816248|829698	atntr1::,ANTR1
Q9NYA1	SphK1
D3ZHH1	dll4
P16284	DHPR::,BAD::,EPG-7::,spns1::,CD45.1::,hsp42::,CCR9::,DER::,CD31::,Catnb::,NRP1::,Pecam-1::,PECAM-1::,PAQR3::,sst::,Ngn1::,Ret::,VDAC1
P46097	SYT2
Q9AQ50	pdlB
420784	Ezh2
Q08702	HNT
8476	CDC42BPA
P46060	Nup358::,RanGAP1::,RanGAP
4615	cholera toxin subunit B::,ULK1::,MyD88::,Park2::,PR-SET7::,Myd88::,β-spectrin::,MYD88::,TNF::,CD28::,LATS1::,EGOT::,FBW7α::,OTULIN
100147705	HBCx
106734935	nucleolin
P21524	sml1
Q8HYB7	iodine
P12813	Nr4a1
P16379	VSV-M
K0JGB1	hFIX
Q90414	SNAIL2
850563	MIC19
Q61496	apg12::,p19::,dRagC::,Hmgb1::,Sqa::,red1::,TAB3::,FEZ1::,let-7::,p90RSK::,ERdj3::,ddm1::,Phb2::,PrP::,MVH::,PSMD11::,dfmr1::,MDH2::,Snc1::,Il6::,Lgr5::,Nsmce2::,TGF-α::,NANOS3::,P18::,gTbr2::,uPA::,ter1::,CytC::,Mpc1::,Tim23::,IL6::,CXCL5::,Ly6G::,ZEB1::,Cox2::,Hcp
P04049	RAF1::,Raf1::,RKIP
3492	IGHV::,IGHA::,IGHG
Q14289|Q05397	FAK::,Epg5::,Beclin-1::,PR-SET7::,CrkL::,PA28β::,Tfn::,db::,cdc48::,NS1::,Fabp7::,Dln1::,Scl::,Fak
Q6IMT1	hps4
510910	CD84
59323	ErbB4::,ERBB4
P04628	Wnt1
Q3SZ89	Tecrl::,TECRL
P61011	HACE1::,AMOTL2::,VEGF-A::,snr81::,SRP54::,Gadd45a
25014183	SATS
31365887	H1
77905	FATE1
1489745	strophin n
P61014	Pln::,phospholamban
P53207	pwi
Q9V9E3	MPP
Q93008	M45::,USP9X::,TRAPPC8::,snR81::,Tbr2::,Prox1a::,Scl::,Hand1::,Usp9X::,α-COP
Q14524	α-SA::,5S-5A
608738	Nedd4::,NEDD4
71950	Nanog::,NANOG
9641	IKKi
107676930	MIC19
387176	miR-181a
P19105	MRCL3
23336399	T6SS
P06778	β′-COP::,myogenin::,ACS2::,Atg8p::,Atg19::,BACE1::,Rpn5::,PCDH7::,rad52::,Rad52::,NFATc2::,NOD2::,Wnt4::,Smad6::,HlgB::,ATM::,Gata4::,Hmox1::,Aβ::,Gal4
53870	Apg5p::,DHPR::,BCL‐2::,CK2α::,Atg36::,LC8::,MITF::,Epg5::,GAD1::,VPS35::,Dcp-1::,urh1::,WIPI2b::,PTEN::,Secretagogin::,somatostatin::,secretagogin::,Spa2::,VAMP7::,Aβ::,Orc2::,GC‐G::,EGF::,LGR5::,Wnt4::,NRBF2::,SlpA::,miR-210::,endothelin-1::,XBP-1::,Pfk1::,Ttn::,Acta1::,Dnmt2::,NRP1::,Nsmce2::,CFL1::,CD206::,NANOS2::,Bid::,CD25::,GPX1::,SOX10::,Wbp2::,Wnt-3a::,Rnaseh2b::,Lck::,NB-3::,CHL1::,SPOP::,Notch3::,EGOT::,IFNG::,Pgc1::,MAD1::,igfbp1a::,HAL::,IL-2Rα::,Vcam1::,cyclinG2::,RAD21::,ANG-1::,Ulk1::,yki::,MOG::,α6::,PD-L1
Q9C5Q8	RNA2
5479	CyclophilinB
Q96AG3	SLC25A46
P0A7C2	LexA
100125124	caveolin-3
20655	DAPK::,dRagA::,SOD1::,Vti1b::,Sqa::,red1::,TEX10::,nNOS::,InlK::,p17::,LC3A::,Atg36::,gba::,XIAP::,ULK1::,bec-1::,ERT2::,Atg19::,spns1::,PI5P4K2C::,β2i::,α2::,NOD2::,Wnt4::,EHD1::,Rubicon::,Centrin::,desmin::,SRF::,Trf1::,KLHL3::,LMX1A::,CD11c::,nMyc::,OTUB1::,CASP11::,VEGF-A::,Flk1::,E2F8::,Fus::,CHL1::,CLU::,trt1::,SmD3::,CD63::,Pgc1::,Pou2af1::,bactin::,F9::,Bub1b::,Gemc1::,A20::,SYCE2::,DRP-1::,Hand1::,RARα::,Hrr25::,ZEB1::,Sig1R::,YAP::,IL-1R1::,IL-1β::,p97::,β6::,SOD1G93A
C4Z8P1	ACCA
180501	Arg-1
10848404	mate
Q9BPY8	BPY-C12
16323	INHBA::,Inhba::,Act
O70404	VAMP8
P44969	IgA1
851937	MRPS28
829650	SLP2::,Slp2
4961527	LNA2::,LNA
68767	p27KIP1::,SipC::,FYCO1::,DHPR::,Atg16L1::,eis::,Sqa::,SUMO1::,M45::,WAC::,VDR::,Ubqln4::,Ripk2::,Atg36::,miR-212::,SEPA‐1::,SH3PX1::,lamin A/C::,WASH::,GSK-3β::,HACE1::,VPS35::,Ref(2)P::,urh1::,spns1::,CALM::,CD28::,ERdj3::,AGO6::,AVP::,C-Nap1::,CPAP::,tlh1::,Alb::,GI::,HSF1::,NOD2::,PrP::,LDHA::,LGR5::,Nsp1::,hsp42::,Rubicon::,LSD1::,Kst::,ex::,Il6::,miR-210::,Nurr1::,IL-1β::,Snc1::,DEC::,UBQLN1::,LXRα::,WNK4::,Sema3A::,TGF-α::,MICA::,Rab8B::,PIP5K1A::,KLF4::,SLFN11::,BRPF3::,CD22::,TRAPPC12::,Hex::,HDAC6::,CSF2::,HRAS::,VEGF-A::,PCM1::,pus1::,FoxM1::,CD61::,Ku70::,Rnaseh2b::,Ubc9::,p135::,Cx3cr1::,miR-150::,RAB2A::,TBX21::,Pou2af1::,Oct1::,CRT::,PKCB::,cycb1;3::,CyclinB::,FBW7α::,MAPKKK5::,igfbp1a::,JAG1::,Aurora kinase A::,IL-8::,REC8::,GASZ::,GATA-1::,miR10b::,Scl::,UbcH7::,LIMT::,CD19::,Gr1::,YAP::,FBXO7::,Aβ
180714	NOD2::,Smad2::,LukE::,RNase H2B::,RILP::,dop-1::,ATP7A::,GPX1::,CD34::,Apc
P41272	CD127::,CD27
P26927	15S
P41208	FEZ1::,LC3A::,mtm‐3::,centrin-2::,tlh1::,Mgat3::,ago6::,CCND1::,CD22::,cdkb1;1::,miR-34b::,Centrin2::,MKK4::,Gpr124::,NF-YB::,CCNB::,SYCP3::,Rex1::,Ret::,Hrr25::,CD4::,β5
P27037	activin A::,Activin A
P17898	CPT1
Q9EP53	Tsc1::,TSC1
P42345|2475	mTOR
8350|333932|3020	Bcl-XL::,H3::,GRI::,EpoR::,Dsl3p::,Il13
Q2QAY0	COXIII
5562	RAR::,AMPKα::,TIGAR::,epsin::,caspase‐3::,EPG-7::,Atg18::,OFD1::,TDP43::,SOS1::,Ampkα1::,AMPKα1::,DEUP1::,LXRα::,Lgr5::,FRB::,VEGF-A::,MKKK7::,KLF5::,Stat3::,interleukin 4::,GADD45β::,uPAR::,nmt1::,AKT3::,cycb1;1::,igfbp1a::,Gli1::,DAPK1::,TNFα::,IFN-β::,UbcH7::,PPARγ::,Sec23::,α6::,Huwe1
24881	Wnt1
226153	PEO1
Q9UBB5	AUT7::,LC3A::,mdx::,PRK5::,NFATc2::,Mbd2::,MBD2::,Hmg1::,MALAT1::,Pgc1::,ATM::,Hand1::,VEGF-A::,Nrg1::,pep4::,IL-6
Q05343	RXRa
17248	TIGAR::,inlK::,Atg36::,C33D9.6::,Dcp-1::,Coi12p::,GC‐G::,Mdm4::,bak1::,CCM1::,Dvl::,miR-29::,HUWE1::,GATA-1::,CD4::,IL1B::,cyclin B1::,TNFα
Q5ZJH9	DKC1
Q9ESU6	BRD4
1824	Dsc2::,dsc2
P33545	Dsc2
Q9Y808	med15::,Med15
P48798	FGF-2
Q8IW19	PNK
P25604	alpha-factor::,α-factor
1045	Cdx2::,CDX2
9638	CG11347::,FEZ1::,TLR9::,myosin VI::,caspase-1::,WASH::,lap::,Terc::,CD32a::,Catnb::,Syt11::,IFNγ::,STAT1::,Prp5::,Yap1::,CHL1::,Nap1::,FGFR1::,IRE1α::,TBK1::,Cetn2::,X-chromosomes::,RBM15::,Trpml1::,TAB2::,CD68
Q13123	IK Cytokine
723903	miR-181b
P29310	pan 14-3-3
83429	pep4::,ATG1β::,DRP-1::,SH-EP::,Ref(2)P::,dRagA::,Hmgb1::,MCK::,MAFbx::,dBI‐1::,M45::,FEZ1::,myosin-VI::,SQST-1::,Atg36::,Atg38::,HACE1::,ach1::,Atg34::,L2A::,KLRG1::,TTR::,STIL::,Ctns::,CTNS::,PA28α::,IL-33::,UBE2D1::,ERCC1::,san1::,Signr3::,CCR9::,CD4::,TP53INP1::,ALDH1A2::,miR-203::,Snai1::,ypt1-1::,Hac1::,p48::,CycE::,NRP1::,SHP‐1::,exo84::,Dyn1::,Lyzs::,OTUB1::,C5b-9::,NAT10::,LukE::,HlgA::,CDT1::,TRPV2::,Muc5ac::,citrate synthase::,Prp5::,FoxM1::,FACL4::,PIAS2b::,eIF4A::,ChAT::,CNOT3::,CX3CR1::,p150::,β2AR::,α11.2::,CLU::,SEPT2::,sur-5::,cycb1;2::,CREST::,SOX9::,VPS4B::,Gpr124::,c-Jun::,stem cell factor::,HUWE1::,YAP::,CCNA::,Asf1A::,SiglecF::,Dsl3p::,VIM::,ANG-2::,CD19::,p97
302502	CUL4B
Q9Y6F1|P09874|Q9UGN5	PARP
27273	npc1::,Bcl‐2::,p38IP::,SUMO1::,Rags::,WASH::,Fap-1::,CIP2A::,CALM::,Cx3cr1::,Terc::,Pdk4::,SLFN11::,NANOS2::,Cdc25C::,uPAR::,Mavs::,SYCP3::,Pho8::,AhR::,Mcm6::,F4/80
P63018	hsc73::,hsc70::,Dcp-1::,Hsc70::,HSC70::,PRK5::,MCP::,HuR::,Epo::,Mdm12
P03300	sipD::,proopiomelanocortin::,VP2::,VP0::,VP3::,CD25::,FMR1::,LXRα::,CFL1::,SMAD1::,eIF4E::,Pgc1alpha::,cycb1;2::,IGFBP1::,ATM::,ORP5::,p97
373928	parγ)
5802853	PRL3
855651	MSK1
P53063	G246R
O60902	SHOX::,shox::,OG/
Q7YS99	OPTN
Q9NZZ3	CHMP5::,DC2
836324	BFT
P62984|P62983|P0CG49|P0CG50	Ub::,UB
Q7TSA3	BTLA::,Btla
L8WFN4	ag1-
Q0KIF2	EKAR2G
Q9MIY4	Cox3
P55072	VCP::,p97::,UBXD1::,valosin
2847761	RyhB::,ryhB
P10636	Aut7p::,apg12::,Calbindin::,osteopontin::,Aβ42::,catD::,sipD::,ref(2)P::,tau::,Atg8b::,nanos::,SQSTM1::,DAPK::,Jumpy::,FYCO1::,NAF‐1::,IP3 receptor type I::,DHR3::,Bnip3::,drpr::,hIFN-γ::,SIRT1::,Atro::,mei4::,Red1::,Pab2::,PELP1::,MVP::,TAB2::,Rags::,Hla::,NS3::,LAMP-2::,α-syn::,NCAM::,NeuN::,Rab12::,miR-132::,miR-212::,gba::,PrP::,Atg16L1::,Ambra1::,RINT-1::,Bif-1::,dnm1::,Idh2::,Hsp78::,DAPK1::,Atg8p::,Tau::,Ape1::,TDP43::,PHF1::,GL2::,hrr25‐ts::,APRT::,rhodopsin::,TTR::,scgn::,MC9::,Bcl-xL::,Clb2::,HRas::,HA::,noc::,CPEB4::,Sox2::,cca1::,Dusp5::,IL-5::,IL-13::,Hsf1::,GC‐G::,THEMIS::,Sar1::,GR::,TLR9::,Phb2::,Insr::,alpha-smooth muscle actin::,miR‐290::,Axin2::,LGR5::,Rubicon::,CCR9::,Ccno::,GOT2::,DER::,STRA6::,Nurr1::,AChRα::,AChRγ::,caspase 9::,Coq9::,Snc1::,H19::,Tsc22d1::,NPC2::,C7::,Dnmt2::,CD45R::,AID::,XPB::,KRIT1::,CCM3::,YAP::,Rab8B::,Rab8A::,Mapt::,Rpp30::,PTPRN2::,Pep2::,2d2::,CCM1::,ral::,APX2::,GS::,MDA-5::,Dyn1::,CASP11::,CASP1::,VEGF-A::,citrate synthase::,snr81::,USP5::,LIF::,Tead 1::,FH::,nos::,Larp::,PTPσ::,NB-3::,Ctip2::,INVS::,SPOP::,TBK1::,nap1::,ICP27::,uPA::,Mdm10::,FUS::,Fstl1::,SMPD2::,miR-122::,ICOS::,CXCR5::,U12::,ERBB4::,igfbp2b::,igfbp1a::,MALT1::,REC8::,UBQLN4::,G6PD::,HUWE1::,cdk1::,BCH2::,cyclinD2::,CD44::,eng2a::,Ptch1::,MPC1::,Shp2::,Ret::,CXCR2::,TAU::,ZEB1::,mdx::,VHL::,c-myb::,ANG-2::,Gadd45a::,CD25::,Gr1::,LYVE1::,CTGF::,MOG::,SMURF1::,Rad53::,MYD88::,α6::,pep4::,NOTCH1::,Huwe1::,LOX::,Psat1
24361	FANCC
67772	CHD8
Q96ES7	SAGA
Q9IAK8	Tbx5
84398	CD93
Q95N22	FcγRIII
861	Mx1::,T6BP::,RARα::,Bak::,LSD1::,PlGF::,Mac2::,Sema3C::,2d2::,Irf7::,RUNX1::,Runx1::,Akt2::,AML1::,Epo::,miR-10b::,RUNX::,runx1::,Gata6
P50876|Q7Z419	RNF144
6853|6854|8224	hSyn
Q8NAA4|Q676U5	atg16::,Atg16::,MTM1::,cortactin::,HMGB1::,ATG16::,SAS-6::,Terc::,Snq2::,SLFN11::,CDH1::,IGF-I::,cGAS::,Rad23::,Bob1::,GATA4
Q3SX30	PI31
42283	Gata 4
B4REG0	rsaA
396385	Irf8::,Irf-8
690130	RHOF
P0CG49|P0CG50|P62984|Q6ZWU9	ubiquitin::,GATE‐16::,Ub::,Ubiquitin::,polyubiquitin::,Polyubiquitinated::,UB::,ubiquitinated::,HACE1::,Atg19::,SesB::,oxytocin::,Id1::,Twi1p::,R‐spondin::,COLVII::,Tie2::,AChRα::,TTN::,Aβ40::,RpoE::,NPC2::,CD68::,TNFα::,UnaG::,SLFN11::,VEGF-A::,IFNβ::,Ubiquitinated::,Yap1::,Uba2::,FUS::,Aldh1l1::,EGF::,mdx::,TNF::,ANG-1::,Gata6::,MTIF2
Q96E35	MCH-R1
Q12057	CK2α::,GABARAP-II::,CD56::,Lyzs::,pus1::,INVS::,ORP5::,Pin2
P07871	ACAA1
P09238	Mmp10::,MMP10
O08736	Atg32::,transferrin::,β‐catenin::,Cdc14::,AGO6::,PD-L1::,caspase-12::,CASP11::,miR-122::,FBW7α::,CD11b::,Gadd45a::,Axin2
P55144	MerTK
103394462	ILF2::,Ilf2
13794974	DUSP
264895	Acsf2
16772	laminin α4::,laminin α5::,laminin 111
7835183	Hsp82p
A0A126ZZQ0	α-SA
11351486	GluA2
P55210	caspase 7::,caspase-7
2652981	E1b
723848|723849|723932	IL-1β::,CA::,spns1::,TFG::,Dgcr8::,Pdk4::,Snc1::,C7::,CUL3::,CD11c::,MAP1B::,GluA1::,Ape1::,U11::,miR-34::,igfbp6b::,MET::,ATM::,Flk1::,R-spondin 1::,Mpc1::,YAP::,FBXO7
Q03373	DIG
P06467	Hba-x
P62195	Rpt6
Q9BZ23	Pank2::,PANK2
Q9UDX5	mTFP1
F6VAN0|O35451	Atro::,ATF6::,NSMCE2::,AMOTL2::,rgl::,EGOT::,CD127::,ATP7A::,RBM15::,Trpml1::,Coq9
14365693	HBHA
855836	nvj1
110013314	OG2
P08050	p19::,GATE‐16::,DHR3::,FEZ1::,LC3A::,large T antigen::,GM130::,Atg38::,LAMP-1::,Ift88::,Cx43::,ATG‐18::,IL-8::,GRI::,PI5P4K2C::,Cx3cr1::,Dusp5::,USP45::,TLR9::,NRPE1::,LGR5::,hsp42::,CD11b::,Nsmce2::,YAP::,Mapt::,PIP5KC::,ral::,cMyc::,RAF1::,OTUB1::,miR-10b::,PBIP1::,ESCO1::,MCP::,Mdy2::,ApoE::,uPA::,MET::,CARD14::,c-Jun::,IκBα::,X-chromosomes::,IL-2Rα::,SIRT5::,EGF::,SMAD7::,miR-21::,INPP5E::,IL-18::,Gal4::,ANAC032::,Mtmr2::,CCM1::,ER
24835	GLT-1a
P15806	Eto2
P10809	Hsp60::,HSP60::,mitochondrial p60 antigen
56489	IKKi
Q9DDD8	gnrh3
P60520	GATE‐16::,cytochrome::,ULK1::,FEZ1::,GATE16::,TMEM59::,Fbxo7::,Hace1::,spns1::,GL2::,GRL2::,COI12::,PR::,Dgcr8::,Asm::,ice2::,NRP1::,CD19::,RILP::,SEPT6::,Alix::,Dectin-1::,NTR::,Atg2a::,Coq9
8625839	Gata 4
2665849	BPH1
37136	MRPS28
18887401	PCB
4607	Mybpc3
4015	LOX::,Lox
3057790	Sec13p
O08597	Sgcg
7536	SF-1
100101484	TRAC
P0A6U5	16S
50685	MRLC2
D4A0Y6	Ki67::,KI67::,ki67
P01732	CD8
170625	SNX18
